model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
extra_trees,0.9981884057971014,0.9987684729064039,0.9975,0.9981264346423475,0.9981860905889258
random_forest,0.9945652173913043,0.9963414634146341,0.9924999999999999,0.9943501415582634,0.9945438657091713
gradient_boosting,0.9873188405797102,0.9850819638200108,0.9845957095709571,0.9847857751215477,0.9873034971246305
logistic_regression,0.9565217391304348,0.9475009626791777,0.9462623762376238,0.946567554839412,0.9561670120398791
